"hotel","fecha_ocupacion","numero_de_habitaciones","venta_por_alojamiento","numero_de_habitaciones_reservas","venta_por_alojamiento_reservas","dif_ocup","dif_ingresos","dif_ocup_porc","dif_ingresos_porc","flag_anomalia"
"SLA","1/1/2018","53","14913","0","0","-53","-14913","-1","-1","1"
"SLA","2/1/2018","59","16585","2","569","-57","-16016","-0.966101694","-0.9656918902622852","1"
"SLA","3/1/2018","62","17173","6","1785","-56","-15388","-0.903225806","-0.8960577650963722","1"
"SLA","4/1/2018","58","14694","5","90237","-53","75543","-0.913793103","5.141077991016742","1"
"SLA","5/1/2018","49","13637","7","2297","-42","-11340","-0.857142857","-0.8315611938109555","1"
"SLA","6/1/2018","57","16688","5","1504","-52","-15184","-0.912280701","-0.909875359539789","1"
"SLA","7/1/2018","61","16896","4","1347","-57","-15549","-0.934426229","-0.9202769886363636","1"
"SLA","8/1/2018","62","17265","13","3532","-49","-13733","-0.79032258","-0.79542426875181","1"
"SLA","9/1/2018","53","14764","7","2252","-46","-12512","-0.867924528","-0.8474668111622866","1"
"SLA","10/1/2018","55","13541","8","91255","-47","77714","-0.854545454","5.739162543386751","1"
"SLA","11/1/2018","57","13643","3","127576","-54","113933","-0.947368421","8.351022502382174","1"
"SLA","12/1/2018","57","13281","4","51028","-53","37747","-0.929824561","2.8421805586928697","1"
"SLA","13/1/2018","59","16381","6","111005","-53","94624","-0.898305084","5.776448324278127","1"
"SLA","14/1/2018","57","16134","0","0","-57","-16134","-1","-1","1"
"SLA","15/1/2018","62","17749","6","1906","-56","-15843","-0.903225806","-0.8926136683756831","1"
"SLA","16/1/2018","60","16962","6","1783","-54","-15179","-0.9","-0.8948826789293716","1"
"SLA","17/1/2018","62","15387","8","129297","-54","113910","-0.870967741","7.403002534607136","1"
"SLA","18/1/2018","54","13962","10","129781","-44","115819","-0.814814814","8.2953015327317","1"
"SLA","19/1/2018","59","13529","2","702","-57","-12827","-0.966101694","-0.9481114642619558","1"
"SLA","20/1/2018","59","16041","4","1510","-55","-14531","-0.932203389","-0.9058662178168443","1"
"SLA","21/1/2018","62","17703","2","581","-60","-17122","-0.967741935","-0.9671807038355081","1"
"SLA","22/1/2018","40","10885","8","1879","-32","-9006","-0.8","-0.8273771244832339","1"
"SLA","23/1/2018","52","14389","9","2339","-43","-12050","-0.826923076","-0.8374452706928904","1"
"SLA","24/1/2018","61","16040","11","2911","-50","-13129","-0.819672131","-0.8185162094763092","1"
"SLA","25/1/2018","62","14616","13","3447","-49","-11169","-0.79032258","-0.7641625615763546","1"
"SLA","26/1/2018","62","15209","21","7249","-41","-7960","-0.661290322","-0.5233743178381222","1"
"SLA","27/1/2018","43","11373","10","2951","-33","-8422","-0.76744186","-0.7405258067352501","1"
"SLA","28/1/2018","41","11189","6","1472","-35","-9717","-0.853658536","-0.8684422200375369","1"
