"hotel","semana","fecha_inicio","fecha","llegadas","salidas","cierre"
"SLA","-1","12/3/2020","13/3/2020","13","11","21"
"SLA","-1","12/3/2020","14/3/2020","9","8","21"
"SLA","-1","12/3/2020","15/3/2020","13","12","23"
"SLA","-1","12/3/2020","16/3/2020","4","15","17"
"SLA","-1","12/3/2020","17/3/2020","5","4","19"
"SLA","-1","12/3/2020","18/3/2020","2","6","11"
"SLA","-1","12/3/2020","19/3/2020","2","1","13"
"SLA","-1","12/3/2020","20/3/2020","3","4","9"
"SLA","-1","12/3/2020","21/3/2020","1","3","8"
"SLA","-1","12/3/2020","22/3/2020","0","2","7"
"SLA","-1","12/3/2020","23/3/2020","0","1","2"
"SLA","-1","12/3/2020","24/3/2020","0","0","0"
"SLA","-1","12/3/2020","25/3/2020","0","0","0"
"SLA","-1","12/3/2020","26/3/2020","0","0","0"
"SLA","-1","12/3/2020","27/3/2020","1","0","0"
"SLA","-1","12/3/2020","28/3/2020","0","0","0"
"SLA","-1","12/3/2020","29/3/2020","0","1","0"
"SLA","-1","12/3/2020","30/3/2020","0","0","0"
"SLA","-1","12/3/2020","31/3/2020","0","0","0"
"SLA","-1","12/3/2020","1/4/2020","0","0","0"
"SLA","-1","12/3/2020","2/4/2020","0","0","0"
"SLA","-1","12/3/2020","3/4/2020","0","0","0"
"SLA","-1","12/3/2020","4/4/2020","0","0","0"
"SLA","-1","12/3/2020","5/4/2020","0","0","0"
"SLA","-1","12/3/2020","6/4/2020","0","0","0"
"SLA","-1","12/3/2020","7/4/2020","0","0","0"
"SLA","-1","12/3/2020","8/4/2020","0","0","0"
"SLA","-1","12/3/2020","9/4/2020","0","0","0"
"SLA","-1","12/3/2020","10/4/2020","0","0","0"
"SLA","-1","12/3/2020","11/4/2020","0","0","0"
"SLA","-1","12/3/2020","12/4/2020","0","0","0"
"SLA","-1","12/3/2020","13/4/2020","0","0","0"
"SLA","-1","12/3/2020","14/4/2020","0","0","0"
"SLA","-1","12/3/2020","15/4/2020","0","0","0"
"SLA","-1","12/3/2020","16/4/2020","0","0","0"
"SLA","-1","12/3/2020","17/4/2020","0","0","0"
"SLA","-1","12/3/2020","18/4/2020","0","0","0"
"SLA","-1","12/3/2020","19/4/2020","0","0","0"
"SLA","-1","12/3/2020","20/4/2020","0","0","0"
"SLA","-1","12/3/2020","21/4/2020","0","0","0"
"SLA","-1","12/3/2020","22/4/2020","0","0","0"
"SLA","-1","12/3/2020","23/4/2020","0","0","0"
"SLA","-1","12/3/2020","24/4/2020","0","0","0"
"SLA","-1","12/3/2020","25/4/2020","0","0","0"
"SLA","-1","12/3/2020","26/4/2020","0","0","0"
"SLA","-1","12/3/2020","27/4/2020","0","0","0"
"SLA","-1","12/3/2020","28/4/2020","0","0","0"
"SLA","-1","12/3/2020","29/4/2020","0","0","0"
"SLA","-1","12/3/2020","30/4/2020","0","0","0"
"SLA","-1","12/3/2020","1/5/2020","0","0","0"
"SLA","-1","12/3/2020","2/5/2020","0","0","0"
"SLA","-1","12/3/2020","3/5/2020","0","0","0"
"SLA","-1","12/3/2020","4/5/2020","0","0","0"
"SLA","-1","12/3/2020","5/5/2020","0","0","0"
"SLA","-1","12/3/2020","6/5/2020","0","0","0"
"SLA","-1","12/3/2020","7/5/2020","0","0","0"
"SLA","-1","12/3/2020","8/5/2020","0","0","0"
"SLA","-1","12/3/2020","9/5/2020","0","0","0"
"SLA","-1","12/3/2020","10/5/2020","0","0","0"
"SLA","-1","12/3/2020","11/5/2020","0","0","0"
"SLA","-1","12/3/2020","12/5/2020","0","0","0"
"SLA","-1","12/3/2020","13/5/2020","0","0","0"
"SLA","-1","12/3/2020","14/5/2020","0","0","0"
"SLA","-1","12/3/2020","15/5/2020","0","0","0"
"SLA","-1","12/3/2020","16/5/2020","0","0","0"
"SLA","-1","12/3/2020","17/5/2020","0","0","0"
"SLA","-1","12/3/2020","18/5/2020","0","0","0"
"SLA","-1","12/3/2020","19/5/2020","0","0","0"
"SLA","-1","12/3/2020","20/5/2020","0","0","0"
"SLA","-1","12/3/2020","21/5/2020","0","0","0"
"SLA","-1","12/3/2020","22/5/2020","0","0","0"
"SLA","-1","12/3/2020","23/5/2020","0","0","0"
"SLA","-1","12/3/2020","24/5/2020","0","0","0"
"SLA","-1","12/3/2020","25/5/2020","0","0","0"
"SLA","-1","12/3/2020","26/5/2020","0","0","0"
"SLA","-1","12/3/2020","27/5/2020","0","0","0"
"SLA","-1","12/3/2020","28/5/2020","0","0","0"
"SLA","-1","12/3/2020","29/5/2020","0","0","0"
"SLA","-1","12/3/2020","30/5/2020","0","0","0"
"SLA","-1","12/3/2020","31/5/2020","0","0","0"
"SLA","-1","12/3/2020","1/6/2020","0","0","0"
"SLA","-1","12/3/2020","2/6/2020","0","0","0"
"SLA","-1","12/3/2020","3/6/2020","0","0","0"
"SLA","-1","12/3/2020","4/6/2020","0","0","0"
"SLA","-1","12/3/2020","5/6/2020","0","0","0"
"SLA","-1","12/3/2020","6/6/2020","0","0","0"
"SLA","-1","12/3/2020","7/6/2020","0","0","0"
"SLA","-1","12/3/2020","8/6/2020","0","0","0"
"SLA","-1","12/3/2020","9/6/2020","0","0","0"
"SLA","-1","12/3/2020","10/6/2020","0","0","0"
"SLA","-1","12/3/2020","11/6/2020","0","0","0"
"SLA","-1","12/3/2020","12/6/2020","0","0","0"
"SLA","-1","12/3/2020","13/6/2020","1","0","1"
"SLA","-1","12/3/2020","14/6/2020","0","1","0"
"SLA","-1","12/3/2020","15/6/2020","0","0","0"
"SLA","-1","12/3/2020","16/6/2020","0","0","0"
"SLA","-1","12/3/2020","17/6/2020","0","0","0"
"SLA","-1","12/3/2020","18/6/2020","0","0","0"
"SLA","-1","12/3/2020","19/6/2020","0","0","0"
"SLA","-1","12/3/2020","20/6/2020","0","0","0"
"SLA","-1","12/3/2020","21/6/2020","2","0","2"
"SLA","-1","12/3/2020","22/6/2020","0","0","2"
"SLA","-1","12/3/2020","23/6/2020","0","0","2"
"SLA","-1","12/3/2020","24/6/2020","0","1","1"
"SLA","-1","12/3/2020","25/6/2020","0","1","0"
"SLA","-1","12/3/2020","26/6/2020","0","0","0"
"SLA","-1","12/3/2020","27/6/2020","0","0","0"
"SLA","-1","12/3/2020","28/6/2020","0","0","0"
"SLA","-1","12/3/2020","29/6/2020","0","0","0"
"SLA","-1","12/3/2020","30/6/2020","0","0","0"
"SLA","-1","12/3/2020","1/7/2020","0","0","0"
"SLA","-1","12/3/2020","2/7/2020","0","0","0"
"SLA","-1","12/3/2020","3/7/2020","1","0","1"
"SLA","-1","12/3/2020","4/7/2020","0","0","1"
"SLA","-1","12/3/2020","5/7/2020","0","1","0"
"SLA","-1","12/3/2020","6/7/2020","0","0","0"
"SLA","-1","12/3/2020","7/7/2020","0","0","0"
"SLA","-1","12/3/2020","8/7/2020","0","0","0"
"SLA","-1","12/3/2020","9/7/2020","0","0","0"
"SLA","-1","12/3/2020","10/7/2020","0","0","0"
"SLA","-1","12/3/2020","11/7/2020","0","0","0"
"SLA","-1","12/3/2020","12/7/2020","0","0","0"
"SLA","-1","12/3/2020","13/7/2020","0","0","0"
"SLA","-1","12/3/2020","14/7/2020","0","0","0"
"SLA","-1","12/3/2020","15/7/2020","0","0","0"
"SLA","-1","12/3/2020","16/7/2020","0","0","0"
"SLA","-1","12/3/2020","17/7/2020","0","0","0"
"SLA","-1","12/3/2020","18/7/2020","0","0","0"
"SLA","-1","12/3/2020","19/7/2020","0","0","0"
"SLA","-1","12/3/2020","20/7/2020","0","0","0"
"SLA","-1","12/3/2020","21/7/2020","0","0","0"
"SLA","-1","12/3/2020","22/7/2020","0","0","0"
"SLA","-1","12/3/2020","23/7/2020","0","0","0"
"SLA","-1","12/3/2020","24/7/2020","0","0","0"
"SLA","-1","12/3/2020","25/7/2020","0","0","0"
"SLA","-1","12/3/2020","26/7/2020","0","0","0"
"SLA","-1","12/3/2020","27/7/2020","0","0","0"
"SLA","-1","12/3/2020","28/7/2020","0","0","0"
"SLA","-1","12/3/2020","29/7/2020","0","0","0"
"SLA","-1","12/3/2020","30/7/2020","0","0","0"
"SLA","-1","12/3/2020","31/7/2020","0","0","0"
"SLA","-1","12/3/2020","1/8/2020","0","0","0"
"SLA","-1","12/3/2020","2/8/2020","0","0","0"
"SLA","-1","12/3/2020","3/8/2020","0","0","0"
"SLA","-1","12/3/2020","4/8/2020","0","0","0"
"SLA","-1","12/3/2020","5/8/2020","0","0","0"
"SLA","-1","12/3/2020","6/8/2020","0","0","0"
"SLA","-1","12/3/2020","7/8/2020","0","0","0"
"SLA","-1","12/3/2020","8/8/2020","0","0","0"
"SLA","-1","12/3/2020","9/8/2020","0","0","0"
"SLA","-1","12/3/2020","10/8/2020","0","0","0"
"SLA","-1","12/3/2020","11/8/2020","0","0","0"
"SLA","-1","12/3/2020","12/8/2020","0","0","0"
"SLA","-1","12/3/2020","13/8/2020","0","0","0"
"SLA","-1","12/3/2020","14/8/2020","0","0","0"
"SLA","-1","12/3/2020","15/8/2020","0","0","0"
"SLA","-1","12/3/2020","16/8/2020","0","0","0"
"SLA","-1","12/3/2020","17/8/2020","0","0","0"
"SLA","-1","12/3/2020","18/8/2020","0","0","0"
"SLA","-1","12/3/2020","19/8/2020","0","0","0"
"SLA","-1","12/3/2020","20/8/2020","0","0","0"
"SLA","-1","12/3/2020","21/8/2020","0","0","0"
"SLA","-1","12/3/2020","22/8/2020","1","0","1"
"SLA","-1","12/3/2020","23/8/2020","0","1","0"
"SLA","-1","12/3/2020","24/8/2020","0","0","0"
"SLA","-1","12/3/2020","25/8/2020","0","0","0"
"SLA","-1","12/3/2020","26/8/2020","0","0","0"
"SLA","-1","12/3/2020","27/8/2020","0","0","0"
"SLA","-1","12/3/2020","28/8/2020","0","0","0"
"SLA","-1","12/3/2020","29/8/2020","0","0","0"
"SLA","-1","12/3/2020","30/8/2020","0","0","0"
"SLA","-1","12/3/2020","31/8/2020","1","0","1"
"SLA","-1","12/3/2020","1/9/2020","0","1","0"
"SLA","-1","12/3/2020","2/9/2020","0","0","0"
"SLA","-1","12/3/2020","3/9/2020","0","0","0"
"SLA","-1","12/3/2020","4/9/2020","0","0","0"
"SLA","-1","12/3/2020","5/9/2020","0","0","0"
"SLA","-1","12/3/2020","6/9/2020","1","0","1"
"SLA","-1","12/3/2020","7/9/2020","0","0","1"
"SLA","-1","12/3/2020","8/9/2020","0","0","1"
"SLA","-1","12/3/2020","9/9/2020","0","1","0"
"SLA","-1","12/3/2020","10/9/2020","0","0","0"
"SLA","-1","12/3/2020","11/9/2020","0","0","0"
"SLA","-1","12/3/2020","12/9/2020","0","0","0"
"SLA","-1","12/3/2020","13/9/2020","0","0","0"
