"hotel","fecha","pickup_pronosticado"
"SLA","13/3/2020","0.75"
"SLA","14/3/2020","0.5"
"SLA","15/3/2020","0.75"
"SLA","16/3/2020","2"
"SLA","17/3/2020","2.25"
"SLA","18/3/2020","1.25"
"SLA","19/3/2020","1.5"
"SLA","20/3/2020","0.75"
"SLA","21/3/2020","1"
"SLA","22/3/2020","1.75"
"SLA","23/3/2020","-0.75"
"SLA","24/3/2020","-1.25"
"SLA","25/3/2020","-1.25"
"SLA","26/3/2020","-1.25"
"SLA","27/3/2020","-2.25"
"SLA","28/3/2020","-2.25"
"SLA","29/3/2020","-1.25"
"SLA","30/3/2020","-1.25"
"SLA","31/3/2020","-1.25"
"SLA","1/4/2020","-1.25"
"SLA","2/4/2020","-1.25"
"SLA","3/4/2020","-1.25"
"SLA","4/4/2020","-1.25"
"SLA","5/4/2020","-1.25"
"SLA","6/4/2020","-1.25"
"SLA","7/4/2020","-1.25"
"SLA","8/4/2020","-1.25"
"SLA","9/4/2020","-1.25"
"SLA","10/4/2020","-1.25"
"SLA","11/4/2020","-1.25"
"SLA","12/4/2020","-1.25"
"SLA","13/4/2020","-1.25"
"SLA","14/4/2020","-1.25"
"SLA","15/4/2020","-1.25"
"SLA","16/4/2020","-1.25"
"SLA","17/4/2020","-1.25"
"SLA","18/4/2020","-1.25"
"SLA","19/4/2020","-1.25"
"SLA","20/4/2020","-1.25"
"SLA","21/4/2020","-1.25"
"SLA","22/4/2020","-1.25"
"SLA","23/4/2020","-1.25"
"SLA","24/4/2020","-1.25"
"SLA","25/4/2020","-1.25"
"SLA","26/4/2020","-1.25"
"SLA","27/4/2020","-1.25"
"SLA","28/4/2020","-1.25"
"SLA","29/4/2020","-1.25"
"SLA","30/4/2020","-1.25"
"SLA","1/5/2020","-1.25"
"SLA","2/5/2020","-1.25"
"SLA","3/5/2020","-1.25"
"SLA","4/5/2020","-1.25"
"SLA","5/5/2020","-1.25"
"SLA","6/5/2020","-1.25"
"SLA","7/5/2020","-1.25"
"SLA","8/5/2020","-1.25"
"SLA","9/5/2020","-1.25"
"SLA","10/5/2020","-1.25"
"SLA","11/5/2020","-1.25"
"SLA","12/5/2020","-1.25"
"SLA","13/5/2020","-1.25"
"SLA","14/5/2020","-1.25"
"SLA","15/5/2020","-1.25"
"SLA","16/5/2020","-1.25"
"SLA","17/5/2020","-1.25"
"SLA","18/5/2020","-1.25"
"SLA","19/5/2020","-1.25"
"SLA","20/5/2020","-1.25"
"SLA","21/5/2020","-1.25"
